threshold,number_of_trades,yes_trades,no_trades,average_edge,expected_profit_per_trade,total_expected_pnl
0.05,129,6,123,0.11110204572180427,2.7775511430451063,358.3040974528186
0.1,67,4,63,0.15493337085044348,3.873334271261087,259.5133961744929
0.15,37,2,35,0.19184869414631842,4.79621735365796,177.46004208534453
