bucket_type,threshold,number_of_trades,average_edge,average_market_price,expected_profit_per_trade,total_expected_pnl
range,0.05,3,0.0730430705274456,0.06283333333333332,1.82607676318614,5.47823028955842
range,0.1,0,,,,0.0
range,0.15,0,,,,0.0
above,0.05,2,0.058427699291698304,0.2975,1.4606924822924583,2.9213849645849166
above,0.1,0,,,,0.0
above,0.15,0,,,,0.0
below,0.05,1,0.15685539858339664,0.055,3.921384964584916,3.921384964584916
below,0.1,1,0.15685539858339664,0.055,3.921384964584916,3.921384964584916
below,0.15,1,0.15685539858339664,0.055,3.921384964584916,3.921384964584916
